Player,Nat,Pos,Squad,Age,Wages,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Gls,Ast,Fls,Fld,Int,TklW,OG,Recov,GA,Saves,Save%
Shandon Baptiste,GRN,MF,Brentford,24,"780,000",23,4,618,6.9,0,1,3,1,8,39,0,0.15,11,12,7,9,0,45,0,0,0
Shane Duffy,IRL,DF,Fulham,30,"2,080,000",5,0,20,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Siriki Dembélé,CIV,FW,Bournemouth,25,"416,000",6,0,110,1.2,0,0,0,0,5,4,0,0,1,2,1,1,0,9,0,0,0
Solly March,ENG,FW,Brighton,28,"2,080,000",33,31,"2,715",30.2,7,7,2,0,110,135,0.23,0.23,46,39,24,31,0,125,0,0,0
Son Heung-min,KOR,MF,Tottenham,30,"9,880,000",36,33,"2,888",32.1,10,6,2,0,82,79,0.31,0.19,13,36,13,12,0,109,0,0,0
Stefan Bajcetic,,DM,Liverpool,18,"2,080,000",11,6,526,5.8,1,0,2,0,10,24,0.17,0,7,9,9,6,0,40,0,0,0
Stefan Ortega,GER,GK,Manchester City,29,"2,860,000",3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,14,93.3
Steve Cook,ENG,DF,Nott'ham Forest,31,"1,560,000",12,11,957,10.6,0,0,4,0,1,19,0,0,5,2,12,4,0,35,0,0,0
Stuart Armstrong,SCO,MF,Southampton,30,"3,380,000",32,14,"1,408",15.6,2,1,6,0,61,75,0.13,0.06,17,20,10,21,0,83,0,0,0
Sven Botman,NED,DF,Newcastle Utd,22,"4,680,000",36,35,"3,127",34.7,0,0,2,0,8,87,0,0,15,12,34,24,0,182,0,0,0
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,24,"2,600,000",27,17,"1,404",15.6,10,1,2,0,18,12,0.64,0.06,24,19,4,10,0,56,0,0,0
Takehiro Tomiyasu,JPN,DF,Arsenal,23,"2,860,000",21,6,663,7.4,0,1,2,0,14,51,0,0.14,6,3,14,18,0,42,0,0,0
Tariq Lamptey,GHA,DF,Brighton,21,"1,820,000",20,3,453,5,0,0,1,0,28,26,0,0,6,14,7,6,0,31,0,0,0
Tetê,BRA,FW,Leicester City,22,"2,600,000",13,9,734,8.2,1,0,0,0,22,26,0.12,0,3,17,2,8,0,52,0,0,0
Theo Walcott,ENG,FW,Southampton,33,"3,900,000",20,13,"1,129",12.5,2,2,1,0,21,14,0.16,0.16,7,10,9,6,1,53,0,0,0
Thiago Alcántara,ESP,MF,Liverpool,31,"10,400,000",18,14,"1,254",13.9,0,0,2,0,13,120,0,0,18,25,21,24,0,111,0,0,0
Thiago Silva,BRA,DF,Chelsea,37,"5,720,000",27,26,"2,352",26.1,0,2,2,0,8,104,0,0.08,10,13,34,27,0,148,0,0,0
Thilo Kehrer,GER,DF,West Ham,25,"4,160,000",27,25,"2,230",24.8,0,2,4,0,15,60,0,0.08,31,12,34,24,1,117,0,0,0
Thomas Partey,GHA,MF,Arsenal,29,"10,400,000",33,28,"2,483",27.6,3,0,5,0,34,231,0.11,0,37,23,28,40,0,225,0,0,0
Tim Ream,USA,DF,Fulham,34,"1,560,000",33,33,"2,897",32.2,1,0,2,0,28,142,0.03,0,18,7,41,16,0,199,0,0,0
Timothy Castagne,BEL,DF,Leicester City,26,"3,380,000",37,36,"3,254",36.2,2,3,3,0,39,106,0.06,0.08,25,15,43,44,0,202,0,0,0
Tom Cairney,SCO,MF,Fulham,31,"1,560,000",33,6,988,11,2,0,2,0,34,92,0.18,0,8,22,5,6,0,76,0,0,0
Tom Davies,ENG,MF,Everton,24,"1,300,000",19,4,538,6,0,0,3,0,2,30,0,0,10,6,4,9,0,28,0,0,0
Tomáš Sou?ek,CZE,MF,West Ham,27,"3,380,000",36,32,"2,815",31.3,2,3,3,0,11,88,0.06,0.1,50,16,53,37,0,143,0,0,0
Tosin Adarabioyo,ENG,DF,Fulham,24,"2,080,000",25,23,"2,085",23.2,1,0,4,0,16,95,0.04,0,17,5,26,13,0,110,0,0,0
Toti Gomes,POR,DF,Wolves,23,"260,000",17,10,984,10.9,1,0,6,0,4,27,0.09,0,16,5,11,9,0,61,0,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,23,"9,360,000",37,34,"2,923",32.5,2,9,5,0,43,235,0.06,0.28,22,6,43,40,0,239,0,0,0
Trevoh Chalobah,ENG,DF,Chelsea,23,"2,600,000",25,18,"1,608",17.9,0,0,4,0,17,71,0,0,11,8,24,20,1,86,0,0,0
Tyler Adams,USA,MF,Leeds United,23,"2,860,000",24,24,"2,156",24,0,0,6,1,19,136,0,0,37,21,35,46,0,199,0,0,0
Tyrell Malacia,NED,DF,Manchester Utd,22,"3,900,000",22,14,"1,396",15.5,0,0,6,0,19,44,0,0,39,13,25,33,0,90,0,0,0
Tyrese Francois,AUS,FW,Fulham,22,"50,000",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tyrick Mitchell,ENG,DF,Crystal Palace,22,"2,080,000",36,34,"2,891",32.1,0,2,5,1,23,106,0,0.06,33,10,42,49,0,186,0,0,0
Tyrone Mings,ENG,DF,Aston Villa,29,"4,160,000",35,35,"3,150",35,1,2,7,0,20,111,0.03,0.06,18,22,54,7,1,174,0,0,0
Valentino Livramento,ENG,DF,Southampton,19,"416,000",2,0,28,0.3,0,0,0,0,0,0,0,0,0,2,2,1,0,4,0,0,0
Vicente Guaita,ESP,GK,Crystal Palace,35,"3,900,000",27,27,"2,430",27,0,0,1,0,0,1,0,0,1,3,0,0,0,26,34,84,72.4
Victor Lindelöf,SWE,DF,Manchester Utd,28,"6,240,000",20,14,"1,365",15.2,0,0,1,0,3,36,0,0,10,4,21,17,0,84,0,0,0
Virgil van Dijk,NED,DF,Liverpool,31,"11,440,000",32,32,"2,835",31.5,3,1,3,0,10,127,0.1,0.03,13,3,31,14,0,168,0,0,0
Vitaliy Mykolenko,UKR,DF,Everton,23,"3,016,000",34,30,"2,655",29.5,0,0,4,0,31,100,0,0,29,21,46,34,0,150,0,0,0
Vitaly Janelt,GER,MF,Brentford,24,"1,560,000",35,24,"2,208",24.5,3,1,3,0,14,82,0.12,0.04,22,21,29,27,0,159,0,0,0
Vladimír Coufal,CZE,DF,West Ham,29,"1,820,000",27,24,"2,136",23.7,0,1,5,0,53,82,0,0.04,30,21,38,31,0,150,0,0,0
Wayne Hennessey,WAL,GK,Nott'ham Forest,35,"780,000",4,3,271,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,9,64.3
Wesley Fofana,FRA,DF,Chelsea,21,"10,400,000",2,2,180,2,0,0,1,0,3,6,0,0,2,3,9,2,0,10,0,0,0
Wesley Fofana,FRA,DF,Chelsea,21,"10,400,000",2,2,180,2,0,0,1,0,3,6,0,0,11,22,20,18,0,67,0,0,0
Wesley Fofana,FRA,DF,Chelsea,21,"10,400,000",15,12,"1,183",13.1,1,0,3,0,29,43,0.08,0,2,3,9,2,0,10,0,0,0
Wesley Fofana,FRA,DF,Chelsea,21,"10,400,000",15,12,"1,183",13.1,1,0,3,0,29,43,0.08,0,11,22,20,18,0,67,0,0,0
Weston McKennie,USA,MF,Leeds United,23,"3,900,000",19,16,"1,437",16,0,1,7,0,14,82,0,0.06,21,5,22,13,0,95,0,0,0
Wilfred Ndidi,NGA,MF,Leicester City,25,"3,900,000",27,19,"1,679",18.7,0,0,4,0,11,51,0,0,29,14,38,42,0,146,0,0,0
Wilfried Zaha,CIV,FW,Crystal Palace,29,"6,760,000",27,27,"2,288",25.4,7,2,5,0,86,75,0.28,0.08,35,77,16,20,0,97,0,0,0
Will Hughes,ENG,MF,Crystal Palace,27,"1,820,000",27,7,842,9.4,1,1,4,0,14,32,0.11,0.11,19,7,16,16,0,66,0,0,0
William Saliba,FRA,DF,Arsenal,21,"2,080,000",27,27,"2,415",26.8,2,1,4,0,13,99,0.07,0.04,19,13,19,20,1,206,0,0,0
Willian,BRA,FW,Fulham,33,"2,080,000",27,25,"2,126",23.6,5,5,2,0,97,113,0.21,0.21,11,24,9,8,0,105,0,0,0
Willy Boly,CIV,DF,Nott'ham Forest,31,"2,080,000",11,9,685,7.6,0,1,2,0,1,12,0,0.13,5,5,12,6,0,40,0,0,0
Wout Faes,BEL,DF,Leicester City,24,"2,600,000",31,31,"2,786",31,1,2,6,1,11,74,0.03,0.06,23,17,41,33,2,184,0,0,0
Wout Weghorst,NED,FW,Manchester Utd,29,"1,820,000",17,10,797,8.9,0,1,1,0,3,17,0,0.11,14,9,7,5,0,34,0,0,0
Yasin Ayari,,CM,Brighton,19,"416,000",3,1,67,0.7,0,0,0,0,0,2,0,0,0,3,0,2,0,3,0,0,0
Yerry Mina,COL,DF,Everton,27,"6,240,000",7,7,594,6.6,2,0,2,0,1,13,0.3,0,6,10,6,8,0,31,0,0,0
Yoane Wissa,COD,FW,Brentford,25,"1,040,000",38,16,"1,606",17.8,7,3,3,0,24,27,0.39,0.17,21,26,6,12,0,69,0,0,0
Youri Tielemans,BEL,MF,Leicester City,25,"1,820,000",31,27,"2,344",26,3,2,4,0,35,181,0.12,0.08,33,25,28,39,0,195,0,0,0
Yves Bissouma,MLI,MF,Tottenham,25,"2,860,000",23,10,"1,010",11.2,0,0,6,0,14,62,0,0,17,10,12,13,0,68,0,0,0
Arthur Melo,BRA,MF,Liverpool,25,"5,720,000",,,,,,,,,,,,,,,,,,,,,
Benjamin Mendy,FRA,LB,Manchester City,28,"4,680,000",,,,,,,,,,,,,,,,,,,,,
Ryan Bertrand,ENG,LB,Leicester City,33,"4,160,000",,,,,,,,,,,,,,,,,,,,,
Phil Jones,ENG,CB,Manchester Utd,30,"3,900,000",,,,,,,,,,,,,,,,,,,,,
Jannik Vestergaard,DEN,DF,Leicester City,29,"3,640,000",,,,,,,,,,,,,,,,,,,,,
Brandon Williams,ENG,DF,Manchester Utd,21,"3,380,000",,,,,,,,,,,,,,,,,,,,,
Adrián,ESP,GK,Liverpool,35,"3,120,000",,,,,,,,,,,,,,,,,,,,,
Axel Tuanzebe,ENG,CB,Manchester Utd,24,"2,600,000",,,,,,,,,,,,,,,,,,,,,
Tom Heaton,ENG,GK,Manchester Utd,36,"2,340,000",,,,,,,,,,,,,,,,,,,,,
Stuart Dallas,NIR,RB,Leeds United,31,"2,340,000",,,,,,,,,,,,,,,,,,,,,
Keinan Davis,ENG,CF,Aston Villa,24,"2,340,000",,,,,,,,,,,,,,,,,,,,,
Frederic Guilbert,FRA,RB,Aston Villa,27,"2,080,000",,,,,,,,,,,,,,,,,,,,,
Gaga Slonina,USA,GK,Chelsea,18,"2,080,000",,,,,,,,,,,,,,,,,,,,,
Andros Townsend,ENG,RW,Everton,31,"2,080,000",,,,,,,,,,,,,,,,,,,,,
Alex Telles,BRA,,Manchester Utd,30,"1,950,000",,,,,,,,,,,,,,,,,,,,,
Matt Turner,USA,GK,Arsenal,28,"1,820,000",,,,,,,,,,,,,,,,,,,,,
Jack Butland,ENG,GK,Manchester Utd,29,"1,820,000",,,,,,,,,,,,,,,,,,,,,
Paul Dummett,WAL,DF,Newcastle Utd,30,"1,820,000",,,,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,ENG,GK,Chelsea,30,"1,820,000",,,,,,,,,,,,,,,,,,,,,
Marvelous Nakamba,ZIM,MF,Aston Villa,28,"1,560,000",,,,,,,,,,,,,,,,,,,,,
Alex Smithies,ENG,GK,Leicester City,32,"1,560,000",,,,,,,,,,,,,,,,,,,,,
Karl Darlow,ENG,GK,Newcastle Utd,31,"1,560,000",,,,,,,,,,,,,,,,,,,,,
Omar Richards,ENG,LB,Nott'ham Forest,24,"1,560,000",,,,,,,,,,,,,,,,,,,,,
Scott Carson,ENG,GK,Manchester City,36,"1,560,000",,,,,,,,,,,,,,,,,,,,,
Nathan Ferguson,ENG,CB,Crystal Palace,22,"1,300,000",,,,,,,,,,,,,,,,,,,,,
Darren Randolph,IRL,GK,Bournemouth,35,"1,300,000",,,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,,CB,Bournemouth,20,"1,300,000",,,,,,,,,,,,,,,,,,,,,
Victor Kristiansen,,LB,Leicester City,20,"1,300,000",,,,,,,,,,,,,,,,,,,,,
Thomas Strakosha,ALB,GK,Brentford,27,"1,300,000",,,,,,,,,,,,,,,,,,,,,
Loïc Bade,FRA,DF,Nott'ham Forest,22,"1,300,000",,,,,,,,,,,,,,,,,,,,,
Willy Caballero,ARG,GK,Southampton,40,"1,040,000",,,,,,,,,,,,,,,,,,,,,
Jed Steer,ENG,GK,Aston Villa,30,"1,040,000",,,,,,,,,,,,,,,,,,,,,
Léo Bonatini,BRA,CF,Wolves,28,"1,040,000",,,,,,,,,,,,,,,,,,,,,
Harry Arter,IRL,CM,Nott'ham Forest,32,"1,040,000",,,,,,,,,,,,,,,,,,,,,
Lyle Taylor,MSR,FW,Nott'ham Forest,32,"1,040,000",,,,,,,,,,,,,,,,,,,,,
Calvin Ramsay,SCO,DF,Liverpool,19,"780,000",,,,,,,,,,,,,,,,,,,,,
Rhys Williams,ENG,DF,Liverpool,21,"520,000",,,,,,,,,,,,,,,,,,,,,
Kristoffer Klaesson,NOR,GK,Leeds United,21,"520,000",,,,,,,,,,,,,,,,,,,,,
Chiquinho,POR,LW,Wolves,22,"520,000",,,,,,,,,,,,,,,,,,,,,
Matija Šarki?,MNE,GK,Wolves,25,"520,000",,,,,,,,,,,,,,,,,,,,,
Harrison Ashby,,RB,Newcastle Utd,21,"520,000",,,,,,,,,,,,,,,,,,,,,
Loris Karius,GER,GK,Newcastle Utd,29,"520,000",,,,,,,,,,,,,,,,,,,,,
Mark Gillespie,ENG,GK,Newcastle Utd,30,"520,000",,,,,,,,,,,,,,,,,,,,,
Jakub Moder,POL,CM,Brighton,23,"520,000",,,,,,,,,,,,,,,,,,,,,
Tom McGill,,GK,Brighton,23,"520,000",,,,,,,,,,,,,,,,,,,,,
Andy Lonergan,IRL,GK,Everton,38,"520,000",,,,,,,,,,,,,,,,,,,,,
Loïc Mbe Soh,FRA,DF,Nott'ham Forest,21,"520,000",,,,,,,,,,,,,,,,,,,,,
Yerson Mosquera,COL,DF,Wolves,21,"416,000",,,,,,,,,,,,,,,,,,,,,
Charlie Goode,ENG,DF,Brentford,26,"416,000",,,,,,,,,,,,,,,,,,,,,
Matthew Longstaff,ENG,CM,Newcastle Utd,22,"390,000",,,,,,,,,,,,,,,,,,,,,
Alfie Whiteman,ENG,GK,Tottenham,24,"390,000",,,,,,,,,,,,,,,,,,,,,
Brandon Austin,ENG,GK,Tottenham,23,"390,000",,,,,,,,,,,,,,,,,,,,,
Finley Stevens,WAL,DF,Brentford,19,"280,000",,,,,,,,,,,,,,,,,,,,,
Shola Shoretire,ENG,MF,Manchester Utd,18,"260,000",,,,,,,,,,,,,,,,,,,,,
Teden Mengi,ENG,CB,Manchester Utd,20,"260,000",,,,,,,,,,,,,,,,,,,,,
Joe Hodge,,DM,Wolves,20,"260,000",,,,,,,,,,,,,,,,,,,,,
Eldin Jakupovi?,SUI,GK,Everton,37,"260,000",,,,,,,,,,,,,,,,,,,,,
James Hill,ENG,DF,Bournemouth,20,"156,000",,,,,,,,,,,,,,,,,,,,,
Jordan Smith,ENG,GK,Nott'ham Forest,27,"130,000",,,,,,,,,,,,,,,,,,,,,
Will Dennis,ENG,GK,Bournemouth,22,"104,000",,,,,,,,,,,,,,,,,,,,,
Leo Fuhr Hjelde,NOR,DF,Leeds United,18,"104,000",,,,,,,,,,,,,,,,,,,,,
