Player,Nat,Pos,Squad,Age,Wages,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Gls,Ast,Fls,Fld,Int,TklW,OG,Recov,GA,Saves,Save%
James Garner,ENG,MF,Everton,21,"1,560,000",16,7,804,8.9,0,1,3,0,8,33,0,0.11,16,10,12,13,0,68,0,0,0
James Justin,ENG,DF,Leicester City,24,"1,560,000",14,14,"1,252",13.9,0,0,0,0,20,47,0,0,8,29,15,18,0,64,0,0,0
James Maddison,ENG,MF,Leicester City,25,"5,720,000",30,28,"2,480",27.6,10,9,10,0,77,151,0.36,0.33,31,79,13,26,0,101,0,0,0
James McArthur,SCO,MF,Crystal Palace,34,"2,860,000",4,0,54,0.6,0,0,0,0,0,1,0,0,0,1,1,1,0,5,0,0,0
James Milner,ENG,MF,Liverpool,36,"3,120,000",31,7,913,10.1,0,1,2,0,21,70,0,0.1,16,15,12,16,0,64,0,0,0
James Tarkowski,ENG,DF,Everton,29,"5,200,000",38,38,"3,420",38,1,1,6,0,13,106,0.03,0.03,40,23,51,26,0,173,0,0,0
James Tomkins,ENG,DF,Crystal Palace,33,"2,600,000",6,3,338,3.8,1,0,3,1,1,2,0.27,0,3,1,5,2,0,21,0,0,0
James Ward-Prowse,ENG,MF,Southampton,27,"5,200,000",38,38,"3,371",37.5,9,4,6,0,19,189,0.24,0.11,34,19,55,37,1,222,0,0,0
Jamie Vardy,ENG,FW,Leicester City,35,"7,280,000",37,19,"1,857",20.6,3,4,1,0,16,14,0.15,0.19,21,7,2,5,0,41,0,0,0
Jan Bednarek,POL,DF,Southampton,26,"3,120,000",20,20,"1,672",18.6,0,0,5,0,8,45,0,0,1,1,2,3,0,4,0,0,0
Jan Bednarek,POL,DF,Southampton,26,"3,120,000",3,1,100,1.1,0,0,0,0,1,5,0,0,1,1,2,3,0,4,0,0,0
Jan Bednarek,POL,DF,Southampton,26,"3,120,000",20,20,"1,672",18.6,0,0,5,0,8,45,0,0,15,7,49,21,1,98,0,0,0
Jan Bednarek,POL,DF,Southampton,26,"3,120,000",3,1,100,1.1,0,0,0,0,1,5,0,0,15,7,49,21,1,98,0,0,0
Jan Paul van Hecke,NED,DF,Brighton,22,"260,000",8,3,295,3.3,0,0,2,0,3,21,0,0,7,4,6,6,0,15,0,0,0
Japhet Tanganga,ENG,DF,Tottenham,23,"1,300,000",4,2,146,1.6,0,0,0,0,1,5,0,0,3,3,2,2,0,8,0,0,0
Jarrod Bowen,ENG,FW,West Ham,25,"3,120,000",38,36,"3,233",35.9,6,5,2,0,101,72,0.17,0.14,26,69,36,16,0,152,0,0,0
Jason Steele,ENG,GK,Brighton,31,"780,000",15,15,"1,350",15,0,1,1,0,0,0,0,0.07,1,1,0,0,1,22,23,36,61.4
Javier Manquillo,ESP,DF,Newcastle Utd,28,"1,820,000",4,0,37,0.4,0,0,0,0,2,4,0,0,0,0,1,2,0,6,0,0,0
Jean-Philippe Mateta,FRA,FW,Crystal Palace,25,"2,600,000",29,6,770,8.6,2,0,3,0,9,6,0.23,0,16,8,3,1,0,23,0,0,0
Jefferson Lerma,COL,MF,Bournemouth,27,"2,860,000",37,37,"3,252",36.1,5,0,7,0,22,142,0.14,0,37,33,47,30,1,260,0,0,0
Jeffrey Schlupp,GHA,MF,Crystal Palace,29,"2,600,000",34,30,"2,531",28.1,3,1,7,0,32,98,0.11,0.04,51,33,23,46,0,150,0,0,0
Jeremy Sarmiento,ECU,MF,Brighton,20,"520,000",9,1,176,2,0,1,1,0,5,11,0,0.51,4,4,1,3,0,4,0,0,0
Jesse Lingard,ENG,FW,Nott'ham Forest,29,"4,160,000",17,12,923,10.3,0,0,1,0,11,33,0,0,8,9,5,4,0,39,0,0,0
Jhon Durán,COL,FW,Aston Villa,18,"1,560,000",12,0,136,1.5,0,0,1,0,4,4,0,0,9,3,2,2,0,5,0,0,0
Joachim Andersen,DEN,DF,Crystal Palace,26,"4,160,000",32,32,"2,782",30.9,1,0,8,0,16,105,0.03,0,27,16,24,22,2,180,0,0,0
João Cancelo,POR,DF,Manchester City,28,"13,000,000",17,16,"1,274",14.2,2,1,3,1,73,106,0.14,0.07,13,18,19,21,0,80,0,0,0
João Félix,POR,FW,Chelsea,22,"10,140,000",16,11,941,10.5,4,0,1,1,34,47,0.38,0,15,29,1,7,0,23,0,0,0
João Gomes,BRA,MF,Wolves,21,"1,560,000",11,7,653,7.3,1,0,5,0,7,19,0.14,0,17,16,4,13,0,59,0,0,0
João Moutinho,POR,MF,Wolves,35,"5,200,000",31,20,"1,780",19.8,0,2,3,0,23,132,0,0.1,31,15,18,30,0,106,0,0,0
João Palhinha,POR,MF,Fulham,27,"2,600,000",35,35,"3,108",34.5,3,0,14,0,8,101,0.09,0,48,50,46,83,1,212,0,0,0
Joe Aribo,NGA,MF,Southampton,26,"3,640,000",21,13,"1,224",13.6,2,0,2,0,19,39,0.15,0,10,13,10,20,0,76,0,0,0
Joe Gelhardt,ENG,FW,Leeds United,20,"780,000",15,1,212,2.4,0,2,1,0,2,6,0,0.85,6,8,0,2,0,9,0,0,0
Joe Gomez,ENG,DF,Liverpool,25,"4,420,000",21,15,"1,466",16.3,0,0,3,0,15,108,0,0,13,4,24,21,0,126,0,0,0
Joe Rothwell,ENG,MF,Bournemouth,27,"416,000",20,12,"1,016",11.3,0,1,1,0,12,33,0,0.09,17,3,9,13,0,56,0,0,0
Joe Willock,ENG,MF,Newcastle Utd,22,"4,160,000",35,31,"2,558",28.4,3,6,1,0,97,121,0.11,0.21,35,23,25,30,0,136,0,0,0
Joe Worrall,ENG,DF,Nott'ham Forest,25,"780,000",30,21,"2,224",24.7,1,0,6,0,5,67,0.04,0,27,4,26,25,0,123,0,0,0
Joël Matip,CMR,DF,Liverpool,30,"5,200,000",14,12,"1,092",12.1,1,0,3,0,28,59,0.08,0,10,5,21,8,1,78,0,0,0
Joel Robles,ESP,GK,Leeds United,32,"1,040,000",4,4,360,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,11,16,66.7
Joël Veltman,NED,DF,Brighton,30,"2,080,000",31,25,"2,188",24.3,1,1,6,0,43,153,0.04,0.04,27,38,19,32,0,125,0,0,0
Joel Ward,ENG,DF,Crystal Palace,32,"1,820,000",28,24,"2,256",25.1,1,0,6,0,22,101,0.04,0,29,11,25,36,0,116,0,0,0
Joelinton,BRA,MF,Newcastle Utd,25,"4,420,000",32,30,"2,661",29.6,6,1,12,0,64,130,0.2,0.03,65,34,48,49,0,198,0,0,0
John McGinn,SCO,MF,Aston Villa,27,"2,860,000",34,30,"2,693",29.9,1,3,7,0,34,140,0.03,0.1,41,66,24,36,0,176,0,0,0
John Stones,ENG,DF,Manchester City,28,"13,000,000",23,21,"1,846",20.5,2,2,2,0,28,101,0.1,0.1,10,8,9,13,1,90,0,0,0
Jonjo Shelvey,ENG,MF,Newcastle Utd,30,"3,640,000",3,0,37,0.4,0,0,0,0,0,3,0,0,1,0,0,0,0,4,0,0,0
Jonjo Shelvey,ENG,MF,Newcastle Utd,30,"3,640,000",3,0,37,0.4,0,0,0,0,0,3,0,0,9,1,5,1,0,32,0,0,0
Jonjo Shelvey,ENG,MF,Newcastle Utd,30,"3,640,000",8,6,540,6,0,0,2,0,1,34,0,0,1,0,0,0,0,4,0,0,0
Jonjo Shelvey,ENG,MF,Newcastle Utd,30,"3,640,000",8,6,540,6,0,0,2,0,1,34,0,0,9,1,5,1,0,32,0,0,0
Jonny Castro,ESP,DF,Wolves,28,"1,820,000",18,14,"1,261",14,1,0,3,1,24,70,0.07,0,13,19,14,15,0,91,0,0,0
Jonny Evans,NIR,DF,Leicester City,34,"5,200,000",13,12,"1,051",11.7,0,0,1,0,6,35,0,0,9,7,18,5,0,60,0,0,0
Jordan Ayew,GHA,FW,Crystal Palace,30,"1,820,000",38,31,"2,714",30.2,4,3,5,0,83,63,0.13,0.1,48,90,15,41,0,166,0,0,0
Jordan Henderson,ENG,MF,Liverpool,32,"7,280,000",35,23,"2,074",23,0,2,2,0,37,189,0,0.09,18,9,21,23,0,163,0,0,0
Jordan Pickford,ENG,GK,Everton,28,"5,200,000",37,37,"3,330",37,0,1,6,0,0,2,0,0.03,1,5,4,0,0,36,57,123,71.3
Jordan Zemura,ZIM,DF,Bournemouth,22,"416,000",19,17,"1,454",16.2,0,1,1,0,39,45,0,0.06,17,14,16,24,0,78,0,0,0
Jorginho,ITA,MF,Arsenal,30,"5,720,000",18,15,"1,279",14.2,2,0,4,0,13,80,0.14,0,6,18,9,13,0,69,0,0,0
Jorginho,ITA,MF,Arsenal,30,"5,720,000",18,15,"1,279",14.2,2,0,4,0,13,80,0.14,0,12,23,21,23,0,119,0,0,0
Jorginho,ITA,MF,Arsenal,30,"5,720,000",14,9,855,9.5,0,1,0,0,15,99,0,0.11,6,18,9,13,0,69,0,0,0
Jorginho,ITA,MF,Arsenal,30,"5,720,000",14,9,855,9.5,0,1,0,0,15,99,0,0.11,12,23,21,23,0,119,0,0,0
José Sá,POR,GK,Wolves,29,"1,300,000",36,36,"3,240",36,0,0,2,0,0,0,0,0,1,8,0,0,0,45,55,105,67.1
Josh Dasilva,ENG,MF,Brentford,23,"1,040,000",36,14,"1,389",15.4,4,2,1,0,60,62,0.26,0.13,14,23,5,9,0,66,0,0,0
Josh Onomah,ENG,MF,Fulham,25,"1,560,000",2,0,15,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Juan Larios,,LB,Southampton,19,"780,000",5,2,152,1.7,0,0,0,0,10,4,0,0,1,0,3,6,0,9,0,0,0
Julián Álvarez,ARG,FW,Manchester City,22,"2,600,000",31,13,"1,465",16.3,9,0,0,0,38,37,0.55,0,21,14,2,16,0,44,0,0,0
Julio César Enciso,PAR,FW,Brighton,18,"520,000",20,7,806,9,4,2,1,0,39,31,0.45,0.22,13,15,4,4,0,36,0,0,0
Junior Firpo,ESP,DF,Leeds United,25,"3,120,000",19,14,"1,368",15.2,1,1,6,1,20,54,0.07,0.07,24,8,24,25,0,87,0,0,0
Junior Stanislas,ENG,MF,Bournemouth,32,"1,820,000",4,0,61,0.7,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
Kai Havertz,GER,FW,Chelsea,23,"13,000,000",35,30,"2,569",28.5,7,1,5,0,59,89,0.25,0.04,60,25,7,16,0,81,0,0,0
Kalidou Koulibaly,SEN,DF,Chelsea,31,"15,340,000",23,20,"1,800",20,2,1,7,1,10,81,0.1,0.05,22,9,29,31,0,126,0,0,0
